Balancing Authority,Data Date,Hour Number,Local Time at End of Hour,UTC Time at End of Hour,Demand Forecast (MW),Demand (MW),Net Generation (MW),Total Interchange (MW),Sum(Valid DIBAs) (MW),Demand (MW) (Imputed),Net Generation (MW) (Imputed),Total Interchange (MW) (Imputed),Demand (MW) (Adjusted),Net Generation (MW) (Adjusted),Total Interchange (MW) (Adjusted),Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from Nuclear,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Hydropower Excluding Pumped Storage,Net Generation (MW) from Pumped Storage,Net Generation (MW) from Solar without Integrated Battery Storage,Net Generation (MW) from Solar with Integrated Battery Storage,Net Generation (MW) from Wind without Integrated Battery Storage,Net Generation (MW) from Wind with Integrated Battery Storage,Net Generation (MW) from Battery Storage,Net Generation (MW) from Other Energy Storage,Net Generation (MW) from Unknown Energy Storage,Net Generation (MW) from Geothermal,Net Generation (MW) from Other Fuel Sources,Net Generation (MW) from Unknown Fuel Sources,Net Generation (MW) from Coal (Imputed),Net Generation (MW) from Natural Gas (Imputed),Net Generation (MW) from Nuclear (Imputed),Net Generation (MW) from All Petroleum Products (Imputed),Net Generation (MW) from Hydropower Excluding Pumped Storage (Imputed),Net Generation (MW) from Pumped Storage (Imputed),Net Generation (MW) from Solar without Integrated Battery Storage (Imputed),Net Generation (MW) from Solar with Integrated Battery Storage (Imputed),Net Generation (MW) from Wind without Integrated Battery Storage (Imputed),Net Generation (MW) from Wind with Integrated Battery Storage (Imputed),Net Generation (MW) from Battery Storage (Imputed),Net Generation (MW) from Other Energy Storage (Imputed),Net Generation (MW) from Unknown Energy Storage (Imputed),Net Generation (MW) from Geothermal (Imputed),Net Generation (MW) from Other Fuel Sources (Imputed),Net Generation (MW) from Coal (Adjusted),Net Generation (MW) from Natural Gas (Adjusted),Net Generation (MW) from Nuclear (Adjusted),Net Generation (MW) from All Petroleum Products (Adjusted),Net Generation (MW) from Hydropower Excluding Pumped Storage (Adjusted),Net Generation (MW) from Pumped Storage  (Adjusted),Net Generation (MW) from Solar without Integrated Battery Storage (Adjusted),Net Generation (MW) from Solar witho Integrated Battery Storage (Adjusted),Net Generation (MW) from Wind without Integrated Battery Storage (Adjusted),Net Generation (MW) from Wind with Integrated Battery Storage (Adjusted),Net Generation (MW) from Battery Storage (Adjusted),Net Generation (MW) from Other Energy Storage (Adjusted),Net Generation (MW) from Unknown Energy Storage (Adjusted),Net Generation (MW) from Geothermal (Adjusted),Net Generation (MW) from Other Fuel Sources (Adjusted),Region
AECI,7/1/2024,1,7/1/2024 1:00,7/1/2024 6:00,1970,2093,2046,-47,-47,,,,2093,2046,-47,930,728,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,930,728,,,,,,,388,,,,,,,MIDW
AECI,7/1/2024,2,7/1/2024 2:00,7/1/2024 7:00,1838,1993,1939,-54,-54,,,,1993,1939,-54,762,757,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,762,757,,,,,,,420,,,,,,,MIDW
AECI,7/1/2024,3,7/1/2024 3:00,7/1/2024 8:00,1755,1902,1907,5,5,,,,1902,1907,5,671,812,,,,,,,424,,,,,,,,,,,,,,,,,,,,,,,671,812,,,,,,,424,,,,,,,MIDW
AECI,7/1/2024,4,7/1/2024 4:00,7/1/2024 9:00,1704,1879,1834,-45,-45,,,,1879,1834,-45,659,719,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,659,719,,,,,,,456,,,,,,,MIDW
AECI,7/1/2024,5,7/1/2024 5:00,7/1/2024 10:00,1714,1855,1857,2,2,,,,1855,1857,2,665,709,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,665,709,,,,,,,483,,,,,,,MIDW
AECI,7/1/2024,6,7/1/2024 6:00,7/1/2024 11:00,1777,1908,2002,94,94,,,,1908,2002,94,719,854,,,,,,,429,,,,,,,,,,,,,,,,,,,,,,,719,854,,,,,,,429,,,,,,,MIDW
AECI,7/1/2024,7,7/1/2024 7:00,7/1/2024 12:00,1911,2040,2163,123,123,,,,2040,2163,123,999,831,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,999,831,,,,,,,333,,,,,,,MIDW
AECI,7/1/2024,8,7/1/2024 8:00,7/1/2024 13:00,2041,2163,2434,271,271,,,,2163,2434,271,1265,847,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,1265,847,,,,,,,322,,,,,,,MIDW
AECI,7/1/2024,9,7/1/2024 9:00,7/1/2024 14:00,2159,2288,2519,231,231,,,,2288,2519,231,1505,705,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,1505,705,,,,,,,309,,,,,,,MIDW
AECI,7/1/2024,10,7/1/2024 10:00,7/1/2024 15:00,2286,2457,2678,221,221,,,,2457,2678,221,1530,904,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,1530,904,,,,,,,244,,,,,,,MIDW
